"Intake Date","Found Location","Intake Condition","Animal ID","Animal Type","Sex","Spayed/Neutered?","Name","Days Old","Description"
" 5/31/12","5612 PINION VISTA AUSTIN, TX","NORMAL","A628710","DOG","MALE","NO","SANCHO",731,"Tan Chihuahua Sh"
" 5/31/12","1602 POST OAK TRAVIS, TX","NORMAL","A628716","DOG","MALE","NO","SHASTA",366,"White American Staff"
" 5/31/12","AUSTIN, TX","NURSING","A628718","KITTEN","FEMALE","NO",,15,"Blue Domestic SH"
" 5/31/12","AUSTIN, TX","NURSING","A628719","KITTEN","FEMALE","NO",,15,"Blue Tabby Domestic SH"
" 5/31/12","3509 ROGGE LN ,AUSTIN TX 78723 AUSTIN, TX","NURSING","A628724","KITTEN","FEMALE","NO",,15,"Blue Tabby Domestic SH"
" 5/31/12","2400 WICKERSHAM LN AUSTIN, TX","NORMAL","A628725","DOG","FEMALE","NO",,"1,827.00","Tan Chihuahua Sh"
" 5/31/12","PIERCE LN DEL VALLE, TX","AGED","A628726","CAT","MALE","YES","BRIAN","5,114.00","Black Domestic SH"
" 5/31/12","HIBBS LANE/HOG EYE MANOR, TX","NORMAL","A628729","KITTEN","FEMALE","NO","MINDY",30,"Tortie Domestic Lh"
" 5/31/12","HIBBS LANE/HOG EYE MANOR, TX","NORMAL","A628730","KITTEN","MALE","NO","JAVA",30,"Black Domestic MH"
" 5/31/12","HIBBS LANE/HOG EYE MANOR, TX","NORMAL","A628731","KITTEN","FEMALE","NO","BAGEL",30,"Org Tabby Domestic SH"
" 5/31/12","HIBBS LANE/HOG EYE MANOR, TX","NORMAL","A628732","KITTEN","FEMALE","NO","HOT DOG",30,"Brn Tabby Domestic SH"
" 5/31/12","HIBBS LANE/HOG EYE MANOR, TX","NORMAL","A628733","KITTEN","MALE","NO","MARK",30,"Brn Tabby Domestic SH"
" 5/31/12","HIBBS LANE/HOG EYE MANOR, TX","NORMAL","A628734","KITTEN","MALE","NO","SLURPEE",30,"Brn Tabby Domestic SH"
" 5/31/12","HIBBS LANE/HOG EYE MANOR, TX","NORMAL","A628735","KITTEN","MALE","NO","MATT",30,"Brn Tabby Domestic SH"
" 5/31/12","HIBBS LANE/HOG EYE MANOR, TX","NORMAL","A628736","KITTEN","FEMALE","NO","MELISSA",30,"Torbie Domestic SH"
" 5/31/12","6855 HWY 290 EAST AUSTIN, TX","NORMAL","A628737","PUPPY","MALE","NO","JERRY",52,"Tricolor Beagle"
" 5/31/12","HIBBS LANE/HOG EYE MANOR, TX","NORMAL","A628738","KITTEN","MALE","NO","MITCH",30,"Brn Tabby Domestic SH"
" 5/31/12","PARSONS ST NEAR TRAIN TRACKS MANOR, TX","NORMAL","A628746","DOG","FEMALE","YES",,"2,557.00","Brown Boxer"
" 5/31/12","8001 GESSNER DR AUSTIN, TX","NORMAL","A628747","DOG","FEMALE","NO","RIZZO","1,096.00","Tan Chihuahua Sh"
" 5/31/12","EMERALD FOREST AUSTIN, TX","NORMAL","A628748","DOG","MALE","NO","FRITZ","1,096.00","Br Brindle Am Pit Bull Ter"
" 5/31/12","7201 LAVENDER LOOP AUSTIN, TX","NORMAL","A628750","DOG","FEMALE","YES","ROSEMARY","2,552.00","Brown Labrador Retr"
" 6/1/12","1109 LILY TERRACE AUSTIN, TX","NORMAL","A507252","DOG","MALE","NO","SCARFACE","2,049.00","White Pit Bull"
" 6/1/12","PLATT LANE AUSTIN, TX","NORMAL","A609317","DOG","FEMALE","YES","LOLA",965,"White Pit Bull"
" 6/1/12","6125 S IH35 AUSTIN, TX","NORMAL","A613179","DOG","MALE","NO","PALOMO",578,"Brown Pit Bull"
" 6/1/12","4434 FRONTIER AUSTIN, TX","INJURED","A628751","PUPPY","FEMALE","NO","PRISSY",92,"White Great Pyrenees"
" 6/1/12","AUSTIN, TX","SICK","A628755","KITTEN","UNKNOWN","UNKNOWN",,17,"Black Domestic MH"
" 6/1/12","BLOSSOM BELL AUSTIN, TX","OTHER","A628758","KITTEN","MALE","NO",,61,"Brn Tabby Domestic SH"
" 6/1/12","1008 FIELDWOOD, 78758 AUSTIN, TX","NORMAL","A628759","DOG","MALE","NO",,731,"Black Germ Shepherd"
" 6/1/12","1010 VASQUEZ ST ,AUSTIN TX 78741 AUSTIN, TX","SICK","A628760","CAT","FEMALE","NO",,"1,827.00","Black Domestic SH"
" 6/1/12","SPRINGDALE AND GONZALES ST AUSTIN, TX","NORMAL","A628761","DOG","MALE","NO","SPEEDY G",731,"Brown Black Mouth Cur"
" 6/1/12","MANOR/51ST AUSTIN, TX","NORMAL","A628762","DOG","FEMALE","YES","ARIEL",152,"Red Beagle"
" 6/1/12","2235 E 6TH ST ,AUSTIN TX 78702 AUSTIN, TX","NORMAL","A628763","DOG","MALE","YES","DIESEL",548,"Black Amer Bulldog"
" 6/1/12","PERNALES AND E 5TH ST AUSTIN, TX","SICK","A628764","KITTEN","UNKNOWN","UNKNOWN",,38,"Black Domestic SH"
" 6/1/12","PEDERNALES AND E 5TH ST AUSTIN, TX","SICK","A628765","KITTEN","MALE","NO",,38,"Black Domestic SH"
" 6/1/12","CRYSTAL BEND DR PFLUGERVILLE, TX","NORMAL","A628767","DOG","FEMALE","NO","ELLIE","2,192.00","White Pit Bull"
" 6/1/12","AIRPORT AND BOLM AUSTIN, TX","NORMAL","A628768","DOG","FEMALE","NO","BISBEE",366,"Black Labrador Retr"
" 6/1/12","7401 N LAMAR AUSTIN, TX","SICK","A628769","CAT","MALE","YES","SLEEPY",731,"White Domestic SH"
" 6/1/12","720 AIRPORT BLVD AUSTIN, TX","NORMAL","A628770","DOG","MALE","NO",,143,"Gold Golden Retr"
" 6/1/12","605 RADAM LN ,AUSTIN TX 78745 AUSTIN, TX","SICK","A628777","KITTEN","UNKNOWN","UNKNOWN",,61,"Blue Domestic SH"
" 6/1/12","CIRCLE RANCH NEIGHBORHOOD AUSTIN, TX","NORMAL","A628783","KITTEN","FEMALE","NO","ALICE",61,"Black Domestic SH"
" 6/1/12","STASSNEY AND PLEASANT VALLEY AUSTIN, TX","NORMAL","A628785","DOG","FEMALE","NO",,121,"Brown Amer Foxhound"
" 6/1/12","605 RADAM LN ,AUSTIN TX 78745 AUSTIN, TX","NORMAL","A628786","KITTEN","MALE","NO","MAX",61,"Blk Smoke Domestic SH"
" 6/1/12","51ST AND CAMERON AUSTIN, TX","AGED","A628787","DOG","MALE","YES",,"5,479.00","Buff Dachshund"
" 6/1/12","UNKNOWN AUSTIN, TX","NURSING","A628788","KITTEN","MALE","NO",,15,"Blk Tabby Domestic MH"
" 6/1/12","UNKNOWN AUSTIN, TX","NURSING","A628789","KITTEN","FEMALE","NO",,15,"Calico Domestic Lh"
" 6/1/12","UNKNOWN AUSTIN, TX","NURSING","A628790","KITTEN","FEMALE","NO",,15,"Calico Domestic Lh"
" 6/1/12","UNKNOWN AUSTIN, TX","NURSING","A628790","KITTEN","FEMALE","NO",,15,"Calico Domestic Lh"
" 6/1/12","UNKNOWN AUSTIN, TX","NURSING","A628791","KITTEN","FEMALE","NO",,15,"Torbie Domestic SH"
" 6/1/12","605 RADAM LN ,AUSTIN TX 78745 AUSTIN, TX","NORMAL","A628792","KITTEN","FEMALE","NO","MISSY",61,"Blue Tabby Domestic SH"
" 6/1/12","2406 ROEHAMPTON DR ,AUSTIN TX 78745 AUSTIN, TX","NORMAL","A628807","CAT","MALE","NO",,731,"Brn Tabby Domestic SH"
" 6/2/12","4434 FRONTIER TRAIL AUSTIN, TX","INJURED","A465505","DOG","MALE","YES","SPARKEY","4,131.00","Red Basset Hound"
" 6/2/12","GLENN LN AUSTIN, TX","NORMAL","A628380","DOG","FEMALE","NO","LIZZIE",311,"White Border Collie"
" 6/2/12","4434 FRONTIER TRAIL AUSTIN, TX","NORMAL","A628818","CAT","MALE","NO",,731,"Orange Amer Sh"
" 6/2/12","1722 WOODWARD AUSTIN, TX","SICK","A628848","CAT","MALE","NO",,"1,096.00","Org Tabby Domestic MH"
" 6/2/12","WILLIAM CANNON AND S 1ST AUSTIN, TX","NURSING","A628852","KITTEN","MALE","NO",,15,"Brn Tabby Domestic SH"
" 6/2/12","WILLIAM CANNON AND S 1ST AUSTIN, TX","NURSING","A628853","KITTEN","FEMALE","NO",,15,"Brn Tabby Domestic SH"
" 6/2/12","SHORELINE DR AT HUNT RIDGE APTS AUSTIN, TX","NORMAL","A628859","DOG","MALE","YES",,"4,383.00","Tricolor Jack Russ Terr"
" 6/2/12","RUNDBERG AND LAMAR AUSTIN, TX","NORMAL","A628860","DOG","FEMALE","YES","JADA",944,"Black Poodle Min"
" 6/2/12","8801 UNITED KINGDOM AUSTIN, TX","INJURED","A628861","CAT","MALE","YES","STRAY",731,"White Siamese"
" 6/2/12","NORHT LAMAR AND RUNDBERG AUSTIN, TX","NORMAL","A628862","DOG","MALE","NO",,"1,096.00","Red Chihuahua Sh"
" 6/2/12","OUTFITTER DR AUSTIN, TX","NORMAL","A628865","DOG","MALE","NO","DYLAN",366,"Blue Merle Catahoula"
" 6/2/12","PEARCE LN AUSTIN, TX","NURSING","A628866","PUPPY","MALE","NO",,0,"Tricolor Pit Bull"
" 6/2/12","AUSTIN, TX","NURSING","A628869","KITTEN","MALE","NO",,15,"Black Domestic SH"
" 6/2/12","AUSTIN, TX","NURSING","A628870","KITTEN","MALE","NO",,15,"Black Domestic SH"
" 6/2/12","AUSTIN, TX","NURSING","A628871","KITTEN","MALE","NO",,15,"Black Domestic SH"
" 6/2/12","AUSTIN, TX","NURSING","A628872","KITTEN","FEMALE","NO",,15,"Seal Pt Domestic SH"
" 6/2/12","AUSTIN, TX","NURSING","A628873","KITTEN","FEMALE","NO",,15,"Seal Pt Domestic SH"
" 6/2/12","KELLAM RD AUSTIN, TX","NORMAL","A628874","PUPPY","FEMALE","NO","DESMOND",107,"Red Pit Bull"
" 6/2/12","5409 POCIANA AUSTIN, TX","NORMAL","A628875","DOG","MALE","NO","TONTO",183,"Tricolor Aust Cattle Dog"
" 6/2/12","8404 B COLONY LOOP AUSTIN, TX","NORMAL","A628876","DOG","MALE","NO","PAPI",183,"Tan Yorkshire Terr"
" 6/2/12","AUSTIN, TX","NURSING","A628877","KITTEN","FEMALE","NO",,46,"Brn Tabby Domestic SH"
" 6/2/12","8804 AIRLINE TERRACE AUSTIN, TX","NORMAL","A628880","KITTEN","FEMALE","NO","STACY",61,"Brn Tabby Domestic SH"
" 6/2/12","AUSTIN, TX","NORMAL","A628882","PUPPY","MALE","NO",,76,"Chocolate Rottweiler"
" 6/2/12","8804 AIRLINE TERRACE AUSTIN, TX","NORMAL","A628883","KITTEN","FEMALE","NO","PUNKY",38,"Black Domestic SH"
" 6/2/12","TERI RD AND FREDERICK AUSTIN, TX","INJURED","A628908","PUPPY","MALE","NO",,31,"Black Pit Bull"
" 6/2/12","CLUB TERRACE AUSTIN, TX","NURSING","A628909","KITTEN","MALE","NO",,22,"Flame Pt Siamese"
" 6/2/12","16621 TREVIN COVE MANOR, TX","NORMAL","A628916","CAT","FEMALE","NO",,366,"Calico Domestic SH"
" 6/2/12","13002 POWDERHORN ST AUSTIN, TX","NORMAL","A628917","CAT","FEMALE","NO","CHARLOTTE","1,096.00","Torbie Domestic SH"
" 6/2/12","13830  LOTHIAN DR PFLUGERVILLE, TX","NORMAL","A628919","CAT","UNKNOWN","UNKNOWN",,366,"Org Tabby Domestic MH"
" 6/2/12","8701  BLUFFSTONE CV AUSTIN, TX","NORMAL","A628923","CAT","FEMALE","YES",,"1,096.00","Blue Cream Domestic SH"
" 6/2/12","SLAUGHTER AND MANCHACA AUSTIN, TX","NORMAL","A628927","CAT","FEMALE","YES","SQUIBLET","1,096.00","Brn Tabby Domestic SH"
" 6/2/12","600  BARWOOD PARK AUSTIN, TX","NORMAL","A628931","CAT","FEMALE","NO",,913,"Brn Tabby Domestic Lh"
" 6/2/12","12435 DESSAU RD AUSTIN, TX","NORMAL","A628935","DOG","MALE","NO","CHARLIE",731,"White Pit Bull"
" 6/2/12","15201 BURNET AUSTIN, TX","NORMAL","A628936","DOG","MALE","YES",,"2,922.00","Yellow Labrador Retr"
" 6/2/12","E 12TH ST AUSTIN, TX","NORMAL","A628938","DOG","MALE","NO","RASCAL","2,922.00","Chocolate Lhasa Apso"
" 6/3/12","15017 MALLARD GREEN TRAVIS, TX","NORMAL","A610838","DOG","MALE","NO","STALLONE",797,"Blue Pit Bull"
" 6/3/12","41 WALLER ST AUSTIN, TX","NORMAL","A623873","DOG","FEMALE","NO","MUNECA","1,096.00","White Poodle Min"
" 6/3/12","20917 KATHY LN TRAVIS, TX","AGED","A628941","DOG","MALE","YES",,"5,115.00","Brown Beagle"
" 6/3/12","12034 RESEARCH BLVD AUSTIN, TX","SICK","A628942","DOG","FEMALE","NO",,183,"Black Pit Bull"
" 6/3/12","CHALMERS AND GARDEN ST AUSTIN, TX","NORMAL","A628951","DOG","FEMALE","NO","PENELOPE",131,"Sable Collie Smooth"
" 6/3/12","8804 AIRLINE AUSTIN, TX","NORMAL","A628952","KITTEN","FEMALE","NO",,43,"Brn Tabby Domestic SH"
" 6/3/12","8804 AIRLINE AUSTIN, TX","NORMAL","A628954","KITTEN","MALE","NO",,46,"Blue Tabby Domestic SH"
" 6/3/12","8804 AIRLINE AUSTIN, TX","SICK","A628955","KITTEN","MALE","NO",,46,"Blk Smoke Domestic MH"
" 6/3/12","WEBBERVILLE AND PLEASANT VALLEY AUSTIN, TX","NORMAL","A628958","DOG","FEMALE","NO",,366,"Br Brindle Boston Terrier"
" 6/3/12","8804 AIRLINE AUSTIN, TX","NORMAL","A628959","KITTEN","FEMALE","NO",,46,"Blue Tabby Domestic SH"
" 6/3/12","35TH AND LAMAR AUSTIN, TX","NORMAL","A628960","DOG","FEMALE","NO","KATY","1,827.00","Tricolor Beagle"
" 6/3/12","RUNDBERG AND I35 AND NORTH PLAZA AREA AUSTIN, TX","NORMAL","A628963","CAT","MALE","NO","EMMETT",364,"White Domestic SH"
" 6/3/12","FOLEY DR DEL VALLE, TX","NORMAL","A628968","DOG","FEMALE","NO","RAMONA","1,096.00","Black Rottweiler"
" 6/3/12","10601 MANCHACA AUSTIN, TX","NORMAL","A628969","CAT","MALE","YES",,731,"Black Domestic SH"
" 6/3/12","8808 MIRIDEAN OAK LN AUSTIN, TX","NORMAL","A628971","CAT","FEMALE","NO",,"1,096.00","Blue Domestic SH"
" 6/3/12","SPICEBRUSH AND GREY FEATHER (78759) AUSTIN, TX","NORMAL","A628972","DOG","FEMALE","NO","CLOVER",121,"Red Pointer"
" 6/3/12","8804 AIRLINE AUSTIN, TX","NORMAL","A628973","KITTEN","MALE","NO",,46,"Blue Domestic MH"
" 6/3/12","BLUFF SPRINGS RD AUSTIN, TX","NORMAL","A628974","DOG","FEMALE","NO","MAGGIE",244,"Cream Cairn Terrier"
" 6/3/12","DESSAU RD AUSTIN, TX","NORMAL","A628975","KITTEN","MALE","NO","CHEVY",61,"White Domestic SH"
" 6/3/12","6810 HILLCROFT AUSTIN, TX","INJURED","A628976","CAT","MALE","NO",,"1,096.00","Org Tabby Domestic SH"
" 6/3/12","10635 MARSHITAHS AUSTIN, TX","NORMAL","A628979","DOG","FEMALE","NO",,152,"Br Brindle Pit Bull"
" 6/3/12","2907 CASTRO ST AUSTIN, TX","NORMAL","A628985","KITTEN","MALE","NO",,46,"Black Domestic SH"
" 6/3/12","2907 CASTRO ST AUSTIN, TX","NORMAL","A628986","KITTEN","MALE","NO",,46,"Seal Pt Siamese"
" 6/3/12","600 CENTER RIDGE AUSTIN, TX","NORMAL","A628987","KITTEN","FEMALE","NO",,61,"Blue Domestic MH"
" 6/3/12","600 CENTER RIDGE AUSTIN, TX","NORMAL","A628989","KITTEN","MALE","NO",,61,"Blue Domestic MH"
" 6/3/12","600 CENTER RIDGE AUSTIN, TX","NORMAL","A628990","KITTEN","MALE","NO",,61,"Blue Domestic MH"
" 6/3/12","600 CENTER RIDGE AUSTIN, TX","NORMAL","A628991","KITTEN","MALE","NO",,61,"Blue Domestic MH"
" 6/3/12","600 CENTER RIDGE AUSTIN, TX","NORMAL","A628992","KITTEN","FEMALE","NO",,61,"Black Domestic MH"
" 6/3/12","8804 AIRLINE, 78719 AUSTIN, TX","FERAL","A628993","CAT","FEMALE","NO",,"1,096.00","Black Domestic SH"
